idFlow, distance, modulation, demandInSlots
2, 0, 5,3
5, 0, 5,11
8, 0, 5,3
10, 0, 5,8
11, 0, 5,2
14, 0, 5,15
21, 0, 5,8
26, 0, 5,3
27, 0, 5,4
35, 0, 5,4
42, 0, 5,4
51, 0, 5,3
53, 0, 5,8
60, 0, 5,2
63, 0, 5,2
69, 0, 5,2
78, 0, 5,4
91, 0, 5,15
95, 0, 5,8
96, 0, 5,15
97, 0, 5,3
101, 0, 5,2
103, 0, 5,4
104, 0, 5,2
105, 0, 5,11
111, 0, 5,15
115, 0, 5,8
116, 0, 5,15
117, 0, 5,8
118, 0, 5,11
119, 0, 5,8
123, 0, 5,8
144, 0, 5,15
160, 0, 5,2
163, 0, 5,3
168, 0, 5,11
174, 0, 5,15
177, 0, 5,4
191, 0, 5,8
200, 0, 5,15
202, 0, 5,2
205, 0, 5,4
210, 0, 5,8
218, 0, 5,2
226, 0, 5,11
240, 0, 5,2
243, 0, 5,3
244, 0, 5,2
246, 0, 5,4
248, 0, 5,2
250, 0, 5,3
255, 0, 5,8
257, 0, 5,4
260, 0, 5,15
261, 0, 5,15
262, 0, 5,15
263, 0, 5,15
273, 0, 5,4
276, 0, 5,4
277, 0, 5,3
280, 0, 5,4
284, 0, 5,8
286, 0, 5,11
290, 0, 5,4
299, 0, 5,3
300, 0, 5,11
301, 0, 5,4
302, 0, 5,2
305, 0, 5,8
309, 0, 5,3
315, 0, 5,2
320, 0, 5,2
324, 0, 5,2
327, 0, 5,15
331, 0, 5,2
335, 0, 5,15
337, 0, 5,2
339, 0, 5,15
343, 0, 5,4
349, 0, 5,4
354, 0, 5,2
355, 0, 5,3
359, 0, 5,4
363, 0, 5,8
366, 0, 5,3
369, 0, 5,2
381, 0, 5,3
392, 0, 5,15
393, 0, 5,3
395, 0, 5,8
408, 0, 5,2
412, 0, 5,11
413, 0, 5,4
414, 0, 5,3
416, 0, 5,3
425, 0, 5,15
432, 0, 5,8
439, 0, 5,15
457, 0, 5,4
458, 0, 5,2
460, 0, 5,4
462, 0, 5,3
466, 0, 5,15
467, 0, 5,11
469, 0, 5,2
470, 0, 5,4
472, 0, 5,3
475, 0, 5,2
485, 0, 5,11
490, 0, 5,4
492, 0, 5,3
493, 0, 5,4
494, 0, 5,11
496, 0, 5,2
501, 0, 5,3
505, 0, 5,3
515, 0, 5,4
